Date,Open,High,Low,Close,,OpenToHigh%,OpenToLow%,OpenToClose%,OpenToHigh,OpenToLow,OpenToClose
16-Sep-20,22476.3,22659.4,22216.5,22573.55,,0.814635861,-1.155884198,0.432677976,183.1,-259.8,97.25
15-Sep-20,22202.8,22514.15,22062.35,22465.65,,1.402300611,-0.632577873,1.183859693,311.35,-140.45,262.85
14-Sep-20,22683.35,22757.3,22028.15,22101.25,,0.326010047,-2.888462242,-2.566199437,73.95,-655.2,-582.1
11-Sep-20,22509.95,22668.75,22205.95,22479.95,,0.705465805,-1.350513884,-0.133274396,158.8,-304,-30
10-Sep-20,22466.55,22678.65,22225.25,22466.2,,0.944070184,-1.074041186,-0.001557872,212.1,-241.3,-0.35
09-Sep-20,22486.7,22554.6,22080.4,22267,,0.301956267,-1.806845824,-0.977021973,67.9,-406.3,-219.7
08-Sep-20,22971.2,23064.15,22641.4,22744.4,,0.404637111,-1.435710803,-0.987323257,92.95,-329.8,-226.8
07-Sep-20,23036.25,23109.1,22716.25,22945.05,,0.316240708,-1.389114982,-0.39589777,72.85,-320,-91.2
04-Sep-20,23119.15,23394.8,22876.9,23011.5,,1.19230162,-1.047832641,-0.465631306,275.65,-242.25,-107.65
03-Sep-20,23986.15,24051.6,23451.65,23530.85,,0.2728658,-2.228369288,-1.898178741,65.45,-534.5,-455.3
02-Sep-20,23769,23926.15,23482.55,23874.55,,0.661155286,-1.20514115,0.4440658,157.15,-286.45,105.55
01-Sep-20,23893.8,24199.65,23473.15,23812,,1.280039173,-1.760498539,-0.342348224,305.85,-420.65,-81.8
31-Aug-20,25038.8,25232.6,23385.3,23754.35,,0.773998754,-6.603750978,-5.129838491,193.8,-1653.5,-1284.45
28-Aug-20,23635.3,24611.8,23599.2,24523.8,,4.131532073,-0.152737642,3.759207626,976.5,-36.1,888.5
27-Aug-20,23511.45,23704.05,23464.15,23600.35,,0.819175338,-0.201178575,0.378113643,192.6,-47.3,88.9
26-Aug-20,23175.55,23453.4,23093.15,23414.2,,1.198892799,-0.355547118,1.029749024,277.85,-82.4,238.65
25-Aug-20,22973.4,23180.3,22857.9,23092.15,,0.900606789,-0.502755361,0.516902156,206.9,-115.5,118.75
24-Aug-20,22436.85,22897.5,22410.05,22833,,2.053095689,-0.119446357,1.76562218,460.65,-26.8,396.15
